age,count,date,deceased,gender,medical_worker,prefecture,status
-64,470,2021-06-01,FALSE,M,FALSE,40,1
-64,651,2021-06-01,FALSE,M,FALSE,40,2
65-,8469,2021-06-01,FALSE,M,FALSE,40,1
65-,767,2021-06-01,FALSE,M,FALSE,40,2
-64,155,2021-06-01,FALSE,U,FALSE,40,1
65-,174,2021-06-01,FALSE,U,FALSE,40,1
65-,2,2021-06-01,FALSE,U,FALSE,40,2
UNK,1716,2021-06-01,TRUE,U,FALSE,40,1
UNK,338,2021-06-01,TRUE,U,FALSE,40,2
-64,1182,2021-06-02,FALSE,F,FALSE,40,1
-64,1767,2021-06-02,FALSE,F,FALSE,40,2
65-,14874,2021-06-02,FALSE,F,FALSE,40,1
65-,5264,2021-06-02,FALSE,F,FALSE,40,2
-64,488,2021-06-02,FALSE,M,FALSE,40,1
-64,657,2021-06-02,FALSE,M,FALSE,40,2
65-,9987,2021-06-02,FALSE,M,FALSE,40,1
65-,3724,2021-06-02,FALSE,M,FALSE,40,2
-64,148,2021-06-02,FALSE,U,FALSE,40,1
-64,4,2021-06-02,FALSE,U,FALSE,40,2
65-,157,2021-06-02,FALSE,U,FALSE,40,1
UNK,1790,2021-06-02,TRUE,U,FALSE,40,1
UNK,595,2021-06-02,TRUE,U,FALSE,40,2
-64,1493,2021-06-03,FALSE,F,FALSE,40,1
-64,1580,2021-06-03,FALSE,F,FALSE,40,2
65-,15329,2021-06-03,FALSE,F,FALSE,40,1
65-,5735,2021-06-03,FALSE,F,FALSE,40,2
-64,611,2021-06-03,FALSE,M,FALSE,40,1
-64,604,2021-06-03,FALSE,M,FALSE,40,2
65-,10544,2021-06-03,FALSE,M,FALSE,40,1
65-,3714,2021-06-03,FALSE,M,FALSE,40,2
-64,123,2021-06-03,FALSE,U,FALSE,40,1
-64,29,2021-06-03,FALSE,U,FALSE,40,2
65-,180,2021-06-03,FALSE,U,FALSE,40,1
UNK,1813,2021-06-03,TRUE,U,FALSE,40,1
UNK,717,2021-06-03,TRUE,U,FALSE,40,2
-64,1420,2021-06-04,FALSE,F,FALSE,40,1
-64,1635,2021-06-04,FALSE,F,FALSE,40,2
65-,12936,2021-06-04,FALSE,F,FALSE,40,1
65-,1044,2021-06-04,FALSE,F,FALSE,40,2
-64,612,2021-06-04,FALSE,M,FALSE,40,1
-64,608,2021-06-04,FALSE,M,FALSE,40,2
65-,8556,2021-06-04,FALSE,M,FALSE,40,1
65-,606,2021-06-04,FALSE,M,FALSE,40,2
-64,151,2021-06-04,FALSE,U,FALSE,40,1
-64,56,2021-06-04,FALSE,U,FALSE,40,2
65-,177,2021-06-04,FALSE,U,FALSE,40,1
65-,1,2021-06-04,FALSE,U,FALSE,40,2
UNK,1479,2021-06-04,TRUE,U,FALSE,40,1
UNK,229,2021-06-04,TRUE,U,FALSE,40,2
-64,925,2021-06-05,FALSE,F,FALSE,40,1
-64,978,2021-06-05,FALSE,F,FALSE,40,2
65-,12465,2021-06-05,FALSE,F,FALSE,40,1
65-,5493,2021-06-05,FALSE,F,FALSE,40,2
-64,339,2021-06-05,FALSE,M,FALSE,40,1
-64,245,2021-06-05,FALSE,M,FALSE,40,2
65-,8754,2021-06-05,FALSE,M,FALSE,40,1
65-,3650,2021-06-05,FALSE,M,FALSE,40,2
-64,80,2021-06-05,FALSE,U,FALSE,40,1
-64,55,2021-06-05,FALSE,U,FALSE,40,2
65-,86,2021-06-05,FALSE,U,FALSE,40,1
65-,3,2021-06-05,FALSE,U,FALSE,40,2
UNK,1195,2021-06-05,TRUE,U,FALSE,40,1
UNK,448,2021-06-05,TRUE,U,FALSE,40,2
